0.000000,-0.006000,0.576000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.070686,0.141372,-0.070686,0.000000,0.000000,-0.070686,0.141372,-0.070686
-0.000000,-0.008061,0.576279,0.000931,-0.000006,0.000000,1.000000,0.000000,-0.000357,-0.071620,0.142241,-0.071203,0.000000,0.002485,-0.071610,0.142469,-0.071224
-0.000000,-0.010098,0.576545,0.001855,-0.000023,0.000000,0.999998,0.000000,-0.000687,-0.072131,0.142684,-0.071648,0.000000,0.004956,-0.072518,0.143524,-0.071724
-0.000000,-0.012117,0.576803,0.002774,-0.000047,0.000000,0.999996,0.000000,-0.000996,-0.072334,0.142817,-0.072038,0.000000,0.007417,-0.073412,0.144549,-0.072196
-0.000000,-0.014126,0.577055,0.003689,-0.000076,0.000000,0.999993,0.000000,-0.001292,-0.072345,0.142756,-0.072396,0.000000,0.009872,-0.074299,0.145554,-0.072650
-0.000000,-0.016130,0.577305,0.004603,-0.000107,0.000000,0.999989,0.000000,-0.001584,-0.072278,0.142617,-0.072739,0.000000,0.012324,-0.075182,0.146552,-0.073097
-0.000001,-0.018136,0.577557,0.005518,-0.000137,0.000001,0.999985,0.000000,-0.001878,-0.072251,0.142517,-0.073090,0.000000,0.014777,-0.076067,0.147554,-0.073548
-0.000001,-0.020151,0.577812,0.006436,-0.000164,0.000001,0.999979,0.000000,-0.002182,-0.072377,0.142572,-0.073467,0.000000,0.017235,-0.076958,0.148571,-0.074013
-0.000001,-0.022181,0.578076,0.007358,-0.000183,0.000001,0.999973,0.000000,-0.002504,-0.072772,0.142898,-0.073892,0.000000,0.019702,-0.077861,0.149615,-0.074502
-0.000001,-0.024233,0.578350,0.008286,-0.000193,0.000002,0.999966,0.000000,-0.002851,-0.073552,0.143613,-0.074382,0.000000,0.022182,-0.078779,0.150697,-0.075026
-0.000001,-0.026314,0.578638,0.009223,-0.000191,0.000002,0.999957,0.000000,-0.003231,-0.074833,0.144832,-0.074960,0.000000,0.024679,-0.079718,0.151828,-0.075596
-0.000001,-0.028430,0.578944,0.010169,-0.000173,0.000002,0.999948,0.000000,-0.003652,-0.076729,0.146672,-0.075645,0.000000,0.027196,-0.080682,0.153021,-0.076222
-0.000001,-0.030587,0.579271,0.011128,-0.000137,0.000002,0.999938,0.000000,-0.004122,-0.079357,0.149249,-0.076456,0.000000,0.029737,-0.081677,0.154286,-0.076914
-0.000000,-0.032792,0.579621,0.012101,-0.000081,0.000001,0.999927,0.000000,-0.004647,-0.082830,0.152679,-0.077414,0.000000,0.032306,-0.082706,0.155635,-0.077683
0.000000,-0.035052,0.579999,0.013090,0.000000,0.000000,0.999914,0.000000,-0.005236,-0.087266,0.157080,-0.078540,0.000000,0.034907,-0.083776,0.157080,-0.078540
0.000000,-0.037255,0.580381,0.014039,0.000095,-0.000001,0.999901,0.000000,-0.005837,-0.091657,0.161083,-0.079518,0.000000,0.037398,-0.084805,0.158467,-0.079414
0.000001,-0.039573,0.580790,0.015020,0.000205,-0.000003,0.999887,0.000000,-0.006475,-0.095714,0.164139,-0.080239,0.000000,0.039972,-0.085858,0.159844,-0.080346
0.000001,-0.041984,0.581223,0.016028,0.000328,-0.000005,0.999871,0.000000,-0.007149,-0.099637,0.166602,-0.080788,0.000000,0.042614,-0.086931,0.161227,-0.081332
